time,reading_1,reading_2,reading_3,reading_4,reading_5,reading_6
1,10.85066167,10.01964812,20.15516953,20.87776326,10.04102436,12.94680491
2,10.59574274,10.80853745,20.87205928,20.10878476,10.17112379,10.32845991
3,10.07333239,10.48054819,20.02722103,20.46039852,10.35664339,13.93976121
4,10.90152952,10.21132138,20.57671781,20.21359487,10.95080441,10.69124238
5,10.54842036,10.4896714,20.52216801,20.46600626,10.96211298,12.25315864
6,10.91777303,10.83693593,20.08912373,20.5310863,10.99492804,11.41765829
7,10.03516668,10.77052937,20.83562168,20.44589919,10.98943786,12.18551439
8,10.95152756,10.17844049,20.68733648,20.82144226,10.33594586,11.33979033
9,10.23699309,10.66663095,20.22791569,20.37801427,10.45783037,13.72908209
10,10.94191237,10.83388113,20.55155113,20.30738541,10.54777607,11.64491954
11,10.75141952,10.5708756,20.57742353,20.43246325,10.6134924,13.84910132
12,10.48798536,10.54358618,20.0920868,20.83578334,10.14348452,11.42011689
13,10.51879406,10.59048837,20.62018305,20.09224826,10.61846184,13.36081324
14,10.93560856,10.78276834,20.90144207,20.80723489,10.52554785,11.19020253
15,10.70421918,10.84705011,20.80797848,20.73090057,10.3556437,12.95378016
16,10.82468809,10.0035406,20.03455516,20.20710991,10.17188551,10.32006038
17,10.5182031,10.34376954,20.74872794,20.47766265,10.8294889,13.11618259
18,10.48949477,10.32930102,20.48938745,20.11196045,10.97793382,10.97084924
19,10.02111481,10.67761306,20.10034958,20.05610484,10.85674696,12.56747865
20,10.98967913,10.02722358,20.98768027,20.09983589,10.61093731,10.45569657
21,10.02734636,10.74282302,20.29327167,20.51631563,10.4841031,13.61146185
22,10.90020692,10.0616485,20.43462567,20.8497981,10.75453216,10.37089596
23,10.96714073,10.93055767,20.96189494,20.73756662,10.93310497,13.55349582
24,10.98752907,10.8606486,20.35441923,20.93793586,10.02460116,10.35894768
25,10.44250712,10.86679832,20.22942626,20.82658922,10.26500707,13.9676885
26,10.18643262,10.22382932,20.40669078,20.11606773,10.18670901,11.17518103
27,10.30662133,10.55725841,20.52574056,20.39236816,10.35032021,13.40318365
28,10.88008794,10.93428441,20.92444589,20.68427961,10.97732914,11.07257625
29,10.61044942,10.25256788,20.7897032,20.7011002,10.40347085,12.70149375
30,10.34660227,10.06698967,20.5035938,20.31471246,10.23688762,11.05242293
31,10.98759973,10.49778132,20.86803689,20.5829121,10.96384491,12.60612745
32,10.04733306,10.59112266,20.07984815,20.29883779,10.19813634,11.22519452
33,10.5438271,10.16611215,20.58151535,20.21428057,10.15184206,13.75214642
34,10.90639279,10.28923361,20.29310329,20.4470844,10.92603647,10.32514903
35,10.87520978,10.64003548,20.71846399,20.61163896,10.22685332,12.15842935
36,10.26312138,10.76310277,20.65892613,20.72692687,10.48811987,10.16580229
37,10.52234547,10.36484044,20.08028765,20.04705393,10.11678553,13.1292419
38,10.20136899,10.00304212,20.48567865,20.37314922,10.14345842,10.45554465
39,10.80886107,10.74164976,20.25778963,20.24706856,10.5119803,13.12175555
40,10.76131408,10.02212994,20.06920683,20.58498817,10.98114737,10.19189523
41,10.59287702,10.70983011,20.76562383,20.9302962,10.75919627,13.60451747
42,10.42340329,10.64589693,20.11844788,20.58145338,10.70742929,11.9712178
43,10.63225729,10.36385021,20.6320018,20.04746465,10.10615778,12.52400643
44,10.75486514,10.64047624,20.17508725,20.43880249,10.14079946,11.92452726
45,10.86847883,10.50901535,20.8100833,20.54317418,10.0409143,13.04715217
46,10.03863268,10.62438299,20.79558306,20.59831952,10.68129909,10.49723832
47,10.14803405,10.91870769,20.74959485,20.03652746,10.99012045,12.58693267
48,10.27444244,10.10596312,20.92088508,20.55593528,10.53435571,10.74859431
49,10.90853586,10.3404926,20.22652534,20.16019101,10.04373924,12.12026648
50,10.93560344,10.96909628,20.3270516,20.70300095,10.84878586,11.41937165
51,10.52181706,11.03933527,21.92354479,21.14001281,10.52316523,13.50554782
52,10.80920761,11.17892758,21.79442583,21.29853069,10.77985323,10.70908066
53,10.56957295,10.40731525,21.4962072,21.97118722,10.59231636,13.29264054
54,10.27118102,10.55596849,21.79478667,21.04856121,10.16871119,10.56557286
55,10.2207515,10.72025818,21.88658116,21.52947384,10.78143806,12.83431886
56,10.34959218,10.39416658,21.14829567,21.14789972,10.58369509,10.83019546
57,10.79516333,10.34830744,21.15142744,21.46175672,10.64420221,12.73502827
58,10.52492179,11.02948338,21.69393218,21.65509533,10.97589413,11.2870446
59,10.73407051,10.82583709,21.26530021,21.17437492,10.34453127,12.38696924
60,10.22862377,10.43767568,21.63106168,21.70712993,10.47473538,11.05645139
61,10.67728178,10.47905254,22.94734887,22.14881171,10.02380958,13.76208157
62,10.78358559,10.50510611,22.39390285,22.30939771,10.67104342,10.58298876
63,10.35898385,11.35580262,22.62094389,22.16600453,10.18293354,12.10077278
64,10.11114365,10.98435875,22.379386,22.45137358,10.26213725,10.89241875
65,10.17415616,11.26508586,22.61964614,22.31349775,10.11135442,13.56866428
66,10.04022366,10.61020929,22.61731232,22.67486464,10.57356617,10.99132256
67,10.57049459,10.82215895,22.42183832,22.75264567,10.35048895,13.99722021
68,10.12409576,10.92319075,22.72697661,22.26541548,10.39056911,10.57233116
69,10.46261748,11.35875766,22.81269195,22.70640595,10.41539374,12.21672148
70,10.62792686,10.77496334,22.89618836,22.12976664,10.53824567,11.58531709
71,10.16223741,10.93593917,23.22460361,23.21388226,10.35078429,13.97848629
72,10.5096449,11.03539917,23.29133144,23.36023827,10.23112901,10.25720052
73,10.96233912,11.1684849,23.88836232,23.96212364,10.57013926,12.61549734
74,10.40360585,11.11193032,23.17512971,23.99251421,10.86178183,11.66367074
75,10.14727465,10.8548247,23.5403244,23.12849283,10.49158549,13.36904021
76,10.77896673,11.57355516,23.33930739,23.368385,10.27672537,11.58706602
77,10.0076818,11.58053225,23.39792085,23.73614333,10.23887078,12.00416719
78,10.74258726,11.01361759,23.49393226,23.88645142,10.70490325,10.81698353
79,10.44674049,11.41810243,23.51681296,23.13683335,10.27544949,13.64615286
80,10.22184444,11.76183102,23.28447648,23.89900836,10.07301665,10.34130044
81,10.77419992,11.21002002,24.64054108,24.75180295,10.7929918,12.41223998
82,10.1369787,11.76046099,24.22631006,24.32479611,10.83887175,10.65616537
83,10.03998007,10.91324984,24.38565792,24.20299631,10.66710808,13.54260766
84,10.37456637,11.27322202,24.07954298,24.37113796,10.72604406,10.47964233
85,10.21973101,11.48104624,24.65690275,24.7577345,10.61363382,13.66108892
86,10.85075788,11.61970846,24.84168973,24.68171232,10.60416317,11.32273776
87,10.63877716,10.83921794,24.43831286,24.10987727,10.40293165,13.81247297
88,10.39634929,11.09066039,24.08762917,24.17660788,10.75248101,11.61961708
89,10.01008097,11.7361118,24.9249226,24.50214588,10.50536401,12.09210026
90,10.38688148,11.51530434,24.96259233,24.13122618,10.6955412,11.80614987
91,10.5653643,11.57313728,25.17481348,24.66169527,10.22579584,13.28472544
92,10.45101136,11.19429669,25.17373614,24.77524109,10.16080376,10.50073061
93,10.32920674,11.27919954,24.86002355,24.62514541,10.94611783,12.63695357
94,10.27574032,11.77447561,25.42096149,25.1368475,10.30185798,11.36108578
95,10.83508307,11.84722018,24.53476759,25.28922116,10.10149497,13.37613442
96,10.47004133,10.98697236,24.53947725,24.7266718,10.55237084,10.92406365
97,10.73069938,11.2052945,25.20084712,25.37326227,10.1152863,13.58126929
98,10.50085668,11.63509036,24.99146878,24.78072824,10.1426842,10.24986841
99,10.5642015,11.82526927,25.33645275,24.9698871,10.3226974,13.42809649
100,10.50626564,11.25283668,25.29799475,25.47253613,20.4860011,11.56979397
101,10.45814018,11.81551327,25.52448938,25.58685237,20.0978529,12.19890457
102,10.37628977,11.527981,25.0420804,25.92882499,20.49421072,11.65285942
103,10.58424604,11.39563421,25.9703708,25.19911424,20.736293,12.60284866
104,10.3740695,11.83263032,25.11040606,25.96699283,20.70217565,11.39912654
105,10.78321223,11.62401424,25.44847156,25.95203703,20.07019604,12.58705438
106,10.08584591,11.31922534,25.53741792,25.61239739,20.44286505,11.34287873
107,10.46170039,11.0922835,25.16301474,25.48176956,20.45969108,12.49567434
108,10.50570729,11.57705389,25.67671848,25.50051057,20.03835808,11.81292281
109,10.23419331,11.83284581,25.06270413,25.04186712,20.1414503,12.62073144
110,10.33164213,11.42243306,25.52773385,25.48888595,20.92472351,11.10433185
111,10.58394862,11.51120221,25.69741381,25.67096553,20.1883689,12.71003691
112,10.80605891,11.80461587,25.82966748,25.40522407,20.58918726,11.51992034
113,10.90678698,11.45640713,25.35196044,25.9566822,20.45824208,12.95232947
114,10.92536635,11.17088835,25.24245197,25.06025929,20.44003872,11.53765494
115,10.75994237,11.51928282,25.50099404,25.88200417,20.1657369,12.39224222
116,10.09369641,11.75963889,25.45287349,25.26651267,20.89334684,11.87356204
117,10.57298113,11.098021,25.73953474,25.3230635,20.95542249,12.89092505
118,10.03724134,11.03592597,25.79457945,25.14697847,20.93763927,11.21467538
119,10.92423756,11.59518856,25.40200369,25.9800209,20.70773414,12.33975994
120,10.76962926,11.74686479,25.19843768,25.74292878,20.46536582,11.73316809
121,10.11075871,11.71728359,25.2854409,25.18833461,20.25320228,12.19496335
122,10.39290862,11.96782758,25.96113293,25.2882005,20.78735669,11.69350819
123,10.3682052,11.89470993,25.34093453,25.87713147,20.58650819,12.50573356
124,10.59280494,11.4032973,25.29290841,25.24211295,20.25562014,11.12460378
125,10.07126485,12.46373871,25.93922947,25.32463592,20.4092677,12.80335235
126,10.16223683,11.74089288,25.20987631,25.11374992,20.24348147,11.64787379
127,10.61552509,11.70155529,25.86898163,25.30221925,20.46381594,12.63024654
128,10.92810679,12.17036944,25.86063771,25.77089557,20.70576675,11.60708141
129,10.49695079,12.35938966,25.70086632,25.33763849,20.55865652,12.90542485
130,10.22575571,12.10189677,25.03439341,25.17628686,20.32314595,11.2072467
131,10.79301706,12.4475738,25.55864285,25.45752568,20.94065691,12.31899695
132,10.44455933,12.92491402,25.42708752,25.92522517,20.1131665,11.41507291
133,10.23274223,12.16440336,25.86187239,25.44345949,20.58321802,12.82724287
134,10.16543361,12.98346564,25.84680527,25.29981202,20.36322782,11.47183726
135,10.44802621,12.38513675,25.62712873,25.14472364,20.7206628,12.08424568
136,10.15669835,12.98068372,25.12161633,25.32485113,20.02982999,11.42317445
137,10.29591827,12.33121979,25.36597045,25.3973193,20.07294707,12.22756036
138,10.37065501,12.52011187,25.75028806,25.94206583,20.19355773,11.73532158
139,10.51840813,12.30617926,25.3399566,25.11288289,20.95165829,12.66642436
140,10.19639282,12.4741658,25.31092971,25.67356082,20.90162879,11.60249782
141,10.26517266,12.32825108,25.69082806,25.27670454,20.41914808,12.83365043
142,10.84198226,12.83986062,25.70528826,25.12315223,20.8526861,11.41428344
143,10.23688735,12.98913328,25.66132134,25.37613364,20.64725885,12.03429493
144,10.18129306,12.39163148,25.84462076,25.07922525,20.1526906,11.53433661
145,10.91532854,12.98391139,25.36291096,25.70346445,20.3743336,12.23779786
146,10.37076753,12.14934757,25.94981437,25.62703876,20.49636707,11.51899891
147,10.71503565,12.60543561,25.178634,25.9558296,20.96593918,12.60597666
148,10.71374828,12.62617027,25.95287545,25.79256005,20.20300859,11.12760022
149,10.80528358,12.80008492,25.91586625,25.52129426,20.01036982,12.01617426
150,10.89867467,13.08534722,25.50906845,25.76973944,20.16783026,11.48991187
151,10.47874516,12.7020345,24.39711679,24.81021056,20.98121041,12.1277747
152,10.25577986,13.3955178,24.33949802,24.26908786,20.27063993,11.1516392
153,10.75387736,13.19789635,24.33088919,24.37969851,20.14034309,12.58084172
154,10.2802139,13.73212249,24.66103076,24.18886212,20.55934648,11.25927824
155,10.89935555,13.03282749,24.2867332,24.31537668,20.50029948,12.2720309
156,10.74443431,13.42504084,24.9718776,24.94845966,20.99784768,11.94884418
157,10.09128471,13.79263491,24.12266135,24.05398953,20.01829656,12.2903658
158,10.90742327,13.02507228,24.41074493,24.10263395,20.39151979,11.28281434
159,10.64627932,13.96895704,24.37897967,24.42779683,20.73783347,12.72851768
160,10.40907386,13.8735612,24.26737778,24.37446045,20.41121509,11.59250802
161,10.30467507,13.41041921,23.58374589,23.5389485,20.01297918,12.74075279
162,10.62844014,13.45697327,23.53550721,23.54321959,20.94597092,11.25890832
163,10.79739832,13.79531028,23.03551832,23.637584,20.91001567,12.32722797
164,10.73073935,13.73090988,23.46313729,23.11923121,20.79588543,11.27663628
165,10.51712268,13.10153619,23.43376522,23.80000764,20.63764671,12.78863796
166,10.92938158,13.1368855,23.65183459,23.73946308,20.48972481,11.64790366
167,10.56516015,13.63849915,23.30867448,23.84181527,20.01055684,12.6582115
168,10.26591837,13.76030709,23.92546434,23.55035182,20.17281336,11.60379419
169,10.14776535,13.47960808,23.12293412,23.5427933,20.73066194,12.50962428
170,10.30874923,13.54000671,23.64175109,23.91663097,20.03208334,11.88899201
171,10.84745112,13.90679579,22.9686017,22.57290342,20.03828257,12.85843455
172,10.42739495,13.75748845,22.46525278,22.13219985,20.39012007,11.32545622
173,10.92999956,13.27072011,22.68194721,22.65850615,20.45417746,12.31993796
174,10.82748291,14.17126519,22.35707499,22.18876912,20.73837579,11.91657103
175,10.61515068,13.86429759,22.53954684,22.62748568,20.47876349,12.82813374
176,10.40891963,13.72179432,22.42849871,22.25876199,20.76420595,11.49762213
177,10.53012335,13.8292488,22.79407784,22.75554036,20.31681523,12.77962533
178,10.86698265,14.53541744,22.19435234,22.23365935,20.97513503,11.24857247
179,10.72107075,14.53097292,22.49514145,22.93316849,20.20567833,12.73028897
180,10.56935743,14.30089047,22.6667086,22.19578747,20.62120158,11.7608529
181,10.85694017,14.87132399,21.73415858,21.30646471,20.20756138,12.67045496
182,10.92514598,14.333857,21.38409247,21.81826229,20.25385302,11.49172676
183,10.63502773,14.66684405,21.18747723,21.60526039,20.73159933,12.37009576
184,10.5352476,14.11907827,21.78851162,21.82301466,20.12944099,11.04358492
185,10.36256993,14.88503997,21.45196173,21.08103069,20.04874887,12.3860166
186,10.352848,14.45763048,21.52483666,21.02809628,20.02802978,11.61967675
187,10.14394814,14.42384304,21.28402616,21.34251103,20.71736212,12.00820259
